Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Bowen Byram,20232024,"COL,BUF",L,D,73,11,18,29,0,53,0.4,11,28,0,1,0,0,0,0,84,13.1,20:21,--
Sean Walker,20232024,"PHI,COL",R,D,81,10,19,29,11,50,0.36,8,25,0,1,2,3,0,1,150,6.7,19:14,--
Aliaksei Protas,20232024,WSH,L,C,78,6,23,29,-3,8,0.37,6,28,0,0,0,1,0,1,113,5.3,13:45,40.4
Tyler Myers,20232024,VAN,R,D,77,5,24,29,16,77,0.38,3,27,0,0,2,2,0,0,93,5.4,18:57,--
Alexander Holtz,20232024,NJD,R,R,82,16,12,28,-15,14,0.34,15,26,1,2,0,0,0,3,122,13.1,11:38,29.6
Cameron Atkinson,20232024,PHI,R,R,70,13,15,28,-22,27,0.4,11,22,2,6,0,0,0,3,175,7.4,15:57,48
Joe Veleno,20232024,DET,L,C,80,12,16,28,-16,25,0.35,9,22,3,5,0,1,0,1,86,14,13:57,49
Ryan Poehling,20232024,PHI,L,C,77,11,17,28,-11,6,0.36,7,22,1,2,3,4,0,1,111,9.9,15:00,49.2
Pierre Engvall,20232024,NYI,L,L,74,10,18,28,4,18,0.38,8,21,2,7,0,0,0,1,128,7.8,15:20,46.3
Jordan Greenway,20232024,BUF,L,L,67,10,18,28,11,64,0.42,9,24,1,3,0,1,0,1,107,9.4,17:15,29.8
Damon Severson,20232024,CBJ,R,D,67,9,19,28,-10,51,0.42,9,23,0,3,0,2,0,1,88,10.2,21:09,--
Jake McCabe,20232024,TOR,L,D,73,8,20,28,20,56,0.38,7,25,1,2,0,1,1,3,73,11,20:39,--
Jake Evans,20232024,MTL,R,C,82,7,21,28,-1,24,0.34,6,27,0,0,1,1,0,1,81,8.6,16:01,52.2
Teddy Blueger,20232024,VAN,L,C,68,6,22,28,4,31,0.41,4,24,0,0,2,4,0,0,97,6.2,14:56,53.1
Pavel Mintyukov,20232024,ANA,L,D,63,4,24,28,-20,24,0.44,4,20,0,7,0,1,0,0,88,4.6,18:51,--
Nick Leddy,20232024,STL,L,D,82,3,25,28,14,14,0.34,2,25,0,1,1,2,0,0,82,3.7,22:22,--
Michael Amadio,20232024,VGK,R,R,73,14,13,27,4,16,0.37,11,22,3,5,0,0,0,2,117,12,13:24,51.5
Nicholas Robertson,20232024,TOR,L,L,56,14,13,27,4,4,0.48,13,24,1,3,0,0,0,1,96,14.6,11:23,27.3
Eetu Luostarinen,20232024,FLA,L,C,82,12,15,27,1,26,0.33,10,24,2,2,0,1,0,2,119,10.1,15:56,53.6
Jesperi Kotkaniemi,20232024,CAR,L,C,79,12,15,27,-4,36,0.34,11,24,1,2,0,1,0,0,128,9.4,12:59,51.6
Adam Fantilli,20232024,CBJ,L,C,49,12,15,27,-21,16,0.55,11,24,1,3,0,0,0,1,115,10.4,15:43,43.6
Alex Iafallo,20232024,WPG,L,L,82,11,16,27,14,6,0.33,9,21,2,5,0,1,0,2,120,9.2,15:19,32
Kiefer Sherwood,20232024,NSH,R,L,68,10,17,27,17,41,0.4,10,27,0,0,0,0,0,2,110,9.1,12:10,48.4
Shane Pinto,20232024,OTT,R,C,41,9,18,27,9,14,0.66,5,21,4,6,0,0,1,1,110,8.2,18:07,50.6
Jack Drury,20232024,CAR,L,C,74,8,19,27,4,33,0.36,6,20,2,7,0,0,0,0,106,7.6,12:17,55.3
Jonas Brodin,20232024,MIN,L,D,62,7,20,27,22,16,0.44,7,26,0,1,0,0,0,1,117,6,23:22,--
Jimmy Vesey,20232024,NYR,L,L,80,13,13,26,-4,20,0.33,13,26,0,0,0,0,0,4,116,11.2,12:23,39.1
Ridly Greig,20232024,OTT,L,C,72,13,13,26,10,66,0.36,10,23,2,2,1,1,0,1,97,13.4,14:45,43.9
Colton Parayko,20232024,STL,R,D,82,10,16,26,4,23,0.32,9,23,0,1,1,2,1,4,154,6.5,23:52,--
Justin Danforth,20232024,CBJ,R,R,71,10,16,26,-10,26,0.37,10,26,0,0,0,0,0,1,86,11.6,14:16,48.5
Miles Wood,20232024,COL,L,L,74,9,17,26,-5,75,0.35,8,25,0,0,1,1,0,1,167,5.4,13:41,31.7
Jack McBain,20232024,ARI,L,C,67,8,18,26,8,50,0.39,8,26,0,0,0,0,1,2,56,14.3,12:37,45.2
Justin Schultz,20232024,SEA,R,D,70,7,19,26,-23,22,0.37,7,16,0,10,0,0,1,2,100,7,16:28,--
Dmitry Orlov,20232024,CAR,L,D,82,6,20,26,4,36,0.32,5,20,0,5,1,1,0,1,129,4.7,17:19,--
Erik Gudbranson,20232024,CBJ,R,D,78,6,20,26,-14,74,0.33,6,25,0,0,0,1,0,1,91,6.6,19:40,--
Esa Lindell,20232024,DAL,L,D,82,5,21,26,17,12,0.32,5,25,0,0,0,1,0,0,114,4.4,20:28,--
Janis Moser,20232024,ARI,L,D,80,5,21,26,-5,35,0.33,5,21,0,3,0,2,0,0,77,6.5,20:34,--
Brayden McNabb,20232024,VGK,L,D,82,4,22,26,18,37,0.32,4,24,0,1,0,1,0,0,86,4.7,19:21,--
Hampus Lindholm,20232024,BOS,L,D,73,3,23,26,18,63,0.36,2,21,1,5,0,0,0,0,99,3,23:17,--
TJ Brodie,20232024,TOR,L,D,78,1,25,26,17,40,0.33,1,26,0,0,0,0,0,0,52,1.9,21:43,--
Joel Armia,20232024,MTL,R,R,66,17,8,25,4,34,0.38,15,23,0,0,2,2,0,3,139,12.2,15:33,31.3
Simon Holmstrom,20232024,NYI,L,R,75,15,10,25,2,14,0.33,10,18,0,0,5,7,0,3,72,20.8,13:19,31.6
Logan O'Connor,20232024,COL,R,R,57,13,12,25,13,34,0.44,10,22,0,0,3,3,0,4,85,15.3,14:57,45.3
