Player,Position,cps
Alex Killorn,L,0.3429615973754137
Danton Heinen,L,0.3271507211608595
Mason Appleton,C,0.3733315795080818
Gabriel Vilardi,C,0.3386401465520055
Nils Hoglander,L,0.3394566045515076
Erik Haula,L,0.3636781803944263
Adam Lowry,C,0.3924000189705585
Boone Jenner,C,0.3698587192000625
Tom Wilson,R,0.3778908247428331
Colton Sissons,C,0.3840491784857476
Jason Dickinson,C,0.4121834507519057
Mathieu Joseph,R,0.3189291924615303
Anton Lundell,C,0.3829688688267453
Dylan Guenther,R,0.2750835357803263
Matthew Knies,L,0.3139478381325157
Nino Niederreiter,R,0.3571082314770837
Artturi Lehkonen,L,0.2866760879814589
Alex Newhook,C,0.2978439141864674
Dmitri Voronkov,L,0.3264072301761656
Connor Zary,C,0.3103919668811331
Alex Pietrangelo,D,0.4805565121467356
Jean-Gabriel Pageau,C,0.3468935541103763
Yanni Gourde,C,0.3974991176945588
Andrew Copp,C,0.3495008847876954
Brandon Montour,D,0.4046389634143582
Darren Raddysh,D,0.4004703141544615
Michael Rasmussen,C,0.3347521910832379
Neal Pionk,D,0.5286546302794943
Connor McMichael,C,0.359199841250474
Drew O'Connor,L,0.3618411939897671
Dawson Mercer,C,0.3699143840835893
Tyson Foerster,R,0.3725495997554479
Owen Power,D,0.4332560197892776
Ryan McDonagh,D,0.4635547682311145
Oliver Ekman-Larsson,D,0.3895044984904127
Jason Zucker,L,0.2991134960681913
Jordan Martinook,L,0.3366853955618425
Darnell Nurse,D,0.5573050210559459
Robby Fabbri,C,0.3049181266093894
Dakota Joshua,C,0.3423225169006043
Ivan Provorov,D,0.4731223497587244
Cole Sillinger,C,0.3500682486171086
Lars Eller,C,0.3917921827196499
Tyler Johnson,C,0.2945618413587216
Brendan Gallagher,R,0.31959008085067
Ondrej Palat,L,0.2912429251410941
Dylan DeMelo,D,0.5343969043854272
Erik Gustafsson,D,0.3503053178621786
Seth Jones,D,0.476717921844571
Jack Roslovic,C,0.2788891001653367
Ilya Mikheyev,R,0.3052380817903432
Jordan Staal,C,0.3303142746269196
Marcus Johansson,L,0.3045298237643335
Justin Faulk,D,0.4005003134459793
Jaden Schwartz,C,0.3307724826238671
Alex Wennberg,C,0.3667640475889371
Marcus Pettersson,D,0.547570596922644
Ryan Donato,C,0.329734776978254
Thomas Chabot,D,0.3418276481400217
Josh Norris,C,0.2998631611467561
Alexandre Texier,C,0.2979330093097958
Ryan McLeod,C,0.3842731573771743
K'Andre Miller,D,0.510003850658187
Cam York,D,0.4981163029397309
Zach Benson,L,0.2834144467312025
Tyler Myers,D,0.4410348805358597
Kevin Hayes,R,0.3151872512387816
Michael Carcone,L,0.2793861796264982
Sean Walker,D,0.489148210894231
Pius Suter,C,0.346005612364795
Bowen Byram,D,0.4026579575247306
Aliaksei Protas,C,0.3148964262399482
Yegor Chinakhov,R,0.2665112433173969
Leo Carlsson,C,0.2972752783217575
Cam Atkinson,R,0.3040170684257416
Nick Leddy,D,0.4697091565249376
Damon Severson,D,0.3645841802259609
Teddy Blueger,C,0.3069854712450062
Jake McCabe,D,0.4888088090955175
Pierre Engvall,L,0.3001696925260044
Jake Evans,C,0.3259642792030652
Jordan Greenway,L,0.2927832966072173
Ryan Poehling,C,0.3069894086010436
Joe Veleno,C,0.2994168714724632
Alexander Holtz,R,0.277086672657624
Pavel Mintyukov,D,0.2992033255403835
Jonas Brodin,D,0.4360420606876947
Michael Amadio,R,0.2770715269164946
Alex Iafallo,L,0.3228353345913739
Eetu Luostarinen,C,0.3799952250540087
Kiefer Sherwood,L,0.2569715888442496
Jesperi Kotkaniemi,C,0.3157135063182283
Jack Drury,C,0.2962621475407443
Nicholas Robertson,L,0.2267167943663627
Shane Pinto,C,0.2930594127996786
Adam Fantilli,C,0.2502080153089472
Justin Schultz,D,0.2842174611399478
TJ Brodie,D,0.4609191904758672
Brayden McNabb,D,0.5606513505566819
Dmitry Orlov,D,0.3845527791198308
Erik Gudbranson,D,0.4542713373481164
Hampus Lindholm,D,0.4359569609496752
Colton Parayko,D,0.6471377284860681
Esa Lindell,D,0.5042556066408416
Jimmy Vesey,L,0.2823040865802973
Miles Wood,L,0.2876526431138865
Justin Danforth,R,0.2649051978736681
Jack McBain,C,0.2667942655382142
Ridly Greig,C,0.3231828280401118
J.J. Moser,D,0.4236255356696211
T.J. Oshie,R,0.2644460892263666
Josh Manson,D,0.4860056722669472
Joel Armia,R,0.2894278897313284
Cody Ceci,D,0.4311253167285617
Curtis Lazar,C,0.2787343028858142
Jake Middleton,D,0.4679487264984818
John Marino,D,0.386204817931404
Will Borgen,D,0.4407570909872689
Matt Roy,D,0.5560877417153269
Michael Eyssimont,C,0.309974662324541
Paul Cotter,C,0.2870127097622144
Logan O'Connor,R,0.257103441501538
Simon Holmstrom,R,0.2645339696369557
Artem Zub,D,0.4266536029088581
Jeff Petry,D,0.4157175516439792
Kevin Shattenkirk,D,0.2967073265816542
Tomas Tatar,L,0.2406098280245851
David Savard,D,0.3909726388799796
Evgeny Kuznetsov,C,0.2913111543105565
Mike Reilly,D,0.2852962963801125
Sam Lafferty,C,0.2844108078086642
Sam Steel,C,0.2909305181975106
Nick Perbix,D,0.394270370685518
Martin Pospisil,C,0.2859032451844163
Pavel Dorofeyev,L,0.2252740385163764
Jordan Spence,D,0.2790721383944179
Bobby McMann,C,0.2912943473837471
Evgenii Dadonov,R,0.2100950646683647
Max Pacioretty,L,0.1945324746603348
Mike Hoffman,C,0.2524053592151098
Casey Cizikas,C,0.290983289584005
Ryan Johansen,C,0.2771167274038975
Sonny Milano,L,0.2013258155478155
Vladislav Gavrikov,D,0.422029564965429
Timothy Liljegren,D,0.3504878342476796
Filip Zadina,R,0.2558499196113697
Rasmus Sandin,D,0.3781961045620211
Bobby Brink,R,0.2305432522806914
Cole Smith,L,0.2767716489521576
Alex Laferriere,R,0.2925618714801453
Corey Perry,R,0.21951519186602
Kyle Okposo,R,0.2523483116969109
Nic Dowd,C,0.3097155768728302
Jacob Trouba,D,0.5053724051898154
Michael McCarron,R,0.2492275584358755
Kasperi Kapanen,R,0.2481423597517335
Jalen Chatfield,D,0.3249863985124201
Alexander Romanov,D,0.5464216595703795
Brett Leason,R,0.2323168570591158
Kaiden Guhle,D,0.4701009427757042
Hendrix Lapierre,C,0.2180303288984811
Blake Wheeler,R,0.2051499898583765
Marcus Foligno,L,0.2138369464840304
Calle Jarnkrok,C,0.277614442244359
Oskar Sundqvist,C,0.2629506520412968
Jake Walman,D,0.3987533930896813
Beck Malenstyn,L,0.2594999463469715
Mario Ferraro,D,0.5008343471360469
Alexey Toropchenko,R,0.2700328390380976
Michael Kesselring,D,0.315281554562825
Egor Zamula,D,0.3010512067161618
Will Cuylle,L,0.2538116241624154
Dmitry Kulikov,D,0.3864874713375115
Craig Smith,C,0.2421990942324354
Ben Chiarot,D,0.4839252295290982
Brenden Dillon,D,0.4623720768479175
Josh Anderson,R,0.2926454572291985
Nikita Zadorov,D,0.3800220537804206
Alexandre Carrier,D,0.4047918800666011
Henri Jokiharju,D,0.4022400286397106
Erik Brannstrom,D,0.3658036246040466
Philip Tomasino,C,0.1791240530798733
Valtteri Puustinen,R,0.1852148836552095
Tye Kartye,L,0.2494345503400981
Andrew Cogliano,C,0.2294545275000988
Cal Clutterbuck,R,0.2236057476938134
Jakob Silfverberg,R,0.2502628735155334
Chris Tanev,D,0.491567057569684
Jesper Fast,R,0.2257386320366696
Radek Faksa,C,0.2830481847510063
Jonny Brodzinski,C,0.2294753854009328
Ryan Pulock,D,0.4259536830428014
Christian Fischer,R,0.2161198763456177
Brett Howden,C,0.2660438903438618
Mikhail Sergachev,D,0.2233592791479383
Michael McLeod,C,0.2703261819423938
David Kampf,C,0.27954081509893
Jan Rutta,D,0.3516342373642308
Nils Lundkvist,D,0.2362161075719879
Connor Dewar,C,0.2560729553082682
Kaapo Kakko,R,0.2296148525494372
Braden Schneider,D,0.4380658392773192
Jack Quinn,R,0.1622716224916726
Simon Nemec,D,0.3298733989341047
Radko Gudas,D,0.4819799048208822
Sean Kuraly,C,0.2493255268368394
Adam Larsson,D,0.5345269515462652
Olli Maatta,D,0.3373619077304209
Connor Clifton,D,0.4440640990737653
Aaron Ekblad,D,0.3281765742827193
Keegan Kolesar,R,0.2081812406841344
Luke Kunin,C,0.2732101630912875
Samuel Girard,D,0.3515289773173443
Mikey Anderson,D,0.4585375298134592
Dylan Samberg,D,0.386598812818355
Noah Cates,L,0.2037624953526675
Morgan Barron,C,0.277857799071755
Parker Kelly,L,0.2257149740043386
Ryan Suter,D,0.4275705449308793
Alec Martinez,D,0.3664899821549455
Garnet Hathaway,R,0.2423061317704667
Anthony Beauvillier,L,0.2105943971951547
Yakov Trenin,C,0.3409630524370385
Niko Mikkola,D,0.4767790792926871
Joey Anderson,R,0.1843262151471551
Ryan Lindgren,D,0.4116118035212037
Juuso Valimaki,D,0.3559211306672318
Calen Addison,D,0.2974920723929972
Pontus Holmberg,R,0.1790296644536409
Scott Perunovich,D,0.2280858629861322
Peyton Krebs,C,0.2497742149953059
